Datum;BV;;;;;;;;;;
2017-10-03;82.792.351;;;;;;;;;;
2017-10-04;82.792.351;;;;;;;;;;
2017-10-05;82.792.351;;;;;;;;;;
2017-10-06;82.792.351;;;;;;;;;;
2017-10-07;82.792.351;;;;;;;;;;
2017-10-08;82.792.351;;;;;;;;;;
2017-10-09;82.792.351;;;;;;;;;;
2017-10-10;82.792.351;;;;;;;;;;
2017-10-11;82.792.351;;;;;;;;;;
2017-10-12;82.792.351;;;;;;;;;;
2017-10-13;82.792.351;;;;;;;;;;
2017-10-14;82.792.351;;;;;;;;;;
2017-10-15;82.792.351;;;;;;;;;;
2017-10-16;82.792.351;;;;;;;;;;
2017-10-17;82.792.351;;;;;;;;;;
2017-10-18;82.792.351;;;;;;;;;;
2017-10-19;82.792.351;;;;;;;;;;
2017-10-20;82.792.351;;;;;;;;;;
2017-10-21;82.792.351;;;;;;;;;;
2017-10-22;82.792.351;;;;;;;;;;
2017-10-23;82.792.351;;;;;;;;;;
2017-10-24;82.792.351;;;;;;;;;;
2017-10-25;82.792.351;;;;;;;;;;
2017-10-26;82.792.351;;;;;;;;;;
2017-10-27;82.792.351;;;;;;;;;;
2017-10-28;82.792.351;;;;;;;;;;
2017-10-29;82.792.351;;;;;;;;;;
2017-10-30;82.792.351;;;;;;;;;;
2017-10-31;82.792.351;;;;;;;;;;
2017-11-01;82.792.351;;;;;;;;;;
2017-11-02;82.792.351;;;;;;;;;;
2017-11-03;82.792.351;;;;;;;;;;
2017-11-04;82.792.351;;;;;;;;;;
2017-11-05;82.792.351;;;;;;;;;;
2017-11-06;82.792.351;;;;;;;;;;
2017-11-07;82.792.351;;;;;;;;;;
2017-11-08;82.792.351;;;;;;;;;;
2017-11-09;82.792.351;;;;;;;;;;
2017-11-10;82.792.351;;;;;;;;;;
2017-11-11;82.792.351;;;;;;;;;;
2017-11-12;82.792.351;;;;;;;;;;
2017-11-13;82.792.351;;;;;;;;;;
2017-11-14;82.792.351;;;;;;;;;;
2017-11-15;82.792.351;;;;;;;;;;
2017-11-16;82.792.351;;;;;;;;;;
2017-11-17;82.792.351;;;;;;;;;;
2017-11-18;82.792.351;;;;;;;;;;
2017-11-19;82.792.351;;;;;;;;;;
2017-11-20;82.792.351;;;;;;;;;;
2017-11-21;82.792.351;;;;;;;;;;
2017-11-22;82.792.351;;;;;;;;;;
2017-11-23;82.792.351;;;;;;;;;;
2017-11-24;82.792.351;;;;;;;;;;
2017-11-25;82.792.351;;;;;;;;;;
2017-11-26;82.792.351;;;;;;;;;;
2017-11-27;82.792.351;;;;;;;;;;
2017-11-28;82.792.351;;;;;;;;;;
2017-11-29;82.792.351;;;;;;;;;;
2017-11-30;82.792.351;;;;;;;;;;
2017-12-01;82.792.351;;;;;;;;;;
2017-12-02;82.792.351;;;;;;;;;;
2017-12-03;82.792.351;;;;;;;;;;
2017-12-04;82.792.351;;;;;;;;;;
2017-12-05;82.792.351;;;;;;;;;;
2017-12-06;82.792.351;;;;;;;;;;
2017-12-07;82.792.351;;;;;;;;;;
2017-12-08;82.792.351;;;;;;;;;;
2017-12-09;82.792.351;;;;;;;;;;
2017-12-10;82.792.351;;;;;;;;;;
2017-12-11;82.792.351;;;;;;;;;;
2017-12-12;82.792.351;;;;;;;;;;
2017-12-13;82.792.351;;;;;;;;;;
2017-12-14;82.792.351;;;;;;;;;;
2017-12-15;82.792.351;;;;;;;;;;
2017-12-16;82.792.351;;;;;;;;;;
2017-12-17;82.792.351;;;;;;;;;;
2017-12-18;82.792.351;;;;;;;;;;
2017-12-19;82.792.351;;;;;;;;;;
2017-12-20;82.792.351;;;;;;;;;;
2017-12-21;82.792.351;;;;;;;;;;
2017-12-22;82.792.351;;;;;;;;;;
2017-12-23;82.792.351;;;;;;;;;;
2017-12-24;82.792.351;;;;;;;;;;
2017-12-25;82.792.351;;;;;;;;;;
2017-12-26;82.792.351;;;;;;;;;;
2017-12-27;82.792.351;;;;;;;;;;
2017-12-28;82.792.351;;;;;;;;;;
2017-12-29;82.792.351;;;;;;;;;;
2017-12-30;82.792.351;;;;;;;;;;
2017-12-31;82.792.351;;;;;;;;;;
2018-01-01;83.019.213;;;;;;;;;;
2018-01-02;83.019.213;;;;;;;;;;
2018-01-03;83.019.213;;;;;;;;;;
2018-01-04;83.019.213;;;;;;;;;;
2018-01-05;83.019.213;;;;;;;;;;
2018-01-06;83.019.213;;;;;;;;;;
2018-01-07;83.019.213;;;;;;;;;;
2018-01-08;83.019.213;;;;;;;;;;
2018-01-09;83.019.213;;;;;;;;;;
2018-01-10;83.019.213;;;;;;;;;;
2018-01-11;83.019.213;;;;;;;;;;
2018-01-12;83.019.213;;;;;;;;;;
2018-01-13;83.019.213;;;;;;;;;;
2018-01-14;83.019.213;;;;;;;;;;
2018-01-15;83.019.213;;;;;;;;;;
2018-01-16;83.019.213;;;;;;;;;;
2018-01-17;83.019.213;;;;;;;;;;
2018-01-18;83.019.213;;;;;;;;;;
2018-01-19;83.019.213;;;;;;;;;;
2018-01-20;83.019.213;;;;;;;;;;
2018-01-21;83.019.213;;;;;;;;;;
2018-01-22;83.019.213;;;;;;;;;;
2018-01-23;83.019.213;;;;;;;;;;
2018-01-24;83.019.213;;;;;;;;;;
2018-01-25;83.019.213;;;;;;;;;;
2018-01-26;83.019.213;;;;;;;;;;
2018-01-27;83.019.213;;;;;;;;;;
2018-01-28;83.019.213;;;;;;;;;;
2018-01-29;83.019.213;;;;;;;;;;
2018-01-30;83.019.213;;;;;;;;;;
2018-01-31;83.019.213;;;;;;;;;;
2018-02-01;83.019.213;;;;;;;;;;
2018-02-02;83.019.213;;;;;;;;;;
2018-02-03;83.019.213;;;;;;;;;;
2018-02-04;83.019.213;;;;;;;;;;
2018-02-05;83.019.213;;;;;;;;;;
2018-02-06;83.019.213;;;;;;;;;;
2018-02-07;83.019.213;;;;;;;;;;
2018-02-08;83.019.213;;;;;;;;;;
2018-02-09;83.019.213;;;;;;;;;;
2018-02-10;83.019.213;;;;;;;;;;
2018-02-11;83.019.213;;;;;;;;;;
2018-02-12;83.019.213;;;;;;;;;;
2018-02-13;83.019.213;;;;;;;;;;
2018-02-14;83.019.213;;;;;;;;;;
2018-02-15;83.019.213;;;;;;;;;;
2018-02-16;83.019.213;;;;;;;;;;
2018-02-17;83.019.213;;;;;;;;;;
2018-02-18;83.019.213;;;;;;;;;;
2018-02-19;83.019.213;;;;;;;;;;
2018-02-20;83.019.213;;;;;;;;;;
2018-02-21;83.019.213;;;;;;;;;;
2018-02-22;83.019.213;;;;;;;;;;
2018-02-23;83.019.213;;;;;;;;;;
2018-02-24;83.019.213;;;;;;;;;;
2018-02-25;83.019.213;;;;;;;;;;
2018-02-26;83.019.213;;;;;;;;;;
2018-02-27;83.019.213;;;;;;;;;;
2018-02-28;83.019.213;;;;;;;;;;
2018-03-01;83.019.213;;;;;;;;;;
2018-03-02;83.019.213;;;;;;;;;;
2018-03-03;83.019.213;;;;;;;;;;
2018-03-04;83.019.213;;;;;;;;;;
2018-03-05;83.019.213;;;;;;;;;;
2018-03-06;83.019.213;;;;;;;;;;
2018-03-07;83.019.213;;;;;;;;;;
